cites	year	doi	title
3857	2023	10.1016/j.ijinfomgt.2023.102642	Opinion Paper: “So what if ChatGPT wrote it?” Multidisciplinary perspectives on opportunities, challenges and implications of generative conversational AI for research, practice and policy
2529	2021	10.1007/s12525-021-00475-2	Machine learning and deep learning
2419	2022	10.1007/s10915-022-01939-z	Scientific Machine Learning Through Physics–Informed Neural Networks: Where we are and What’s Next
2416	2023	10.4230/lipics.cosit.2024.11	GPT-4 Technical Report
1828	2023	10.1007/s12559-023-10179-8	Interpreting Black-Box Models: A Review on Explainable Artificial Intelligence
1788	2022	10.1109/access.2021.3140175	A Metaverse: Taxonomy, Components, Applications, and Open Challenges
1574	2023	10.1016/j.inffus.2023.101805	Explainable Artificial Intelligence (XAI): What we know and what is left to attain Trustworthy Artificial Intelligence
1559	2023	10.48550/arxiv.2303.12712	Sparks of Artificial General Intelligence: Early experiments with GPT-4
1452	2022	10.1007/s10462-022-10144-1	A survey on sentiment analysis methods, applications, and challenges
1449	2021	10.48550/arxiv.2107.03374	Evaluating Large Language Models Trained on Code
1420	2026	10.1007/s11704-026-60308-3	A Survey of Large Language Models
1278	2024	10.1007/s11704-024-40231-1	A survey on large language model based autonomous agents
1212	2022	10.1109/access.2022.3207287	A Survey of Ensemble Learning: Concepts, Algorithms, Applications, and Prospects
1210	2023	10.1080/14703297.2023.2195846	A SWOT analysis of ChatGPT: Implications for educational practice and research
1197	2022	10.48550/arxiv.2210.11416	Scaling Instruction-Finetuned Language Models
1183	2021	10.1038/s43586-020-00001-2	Bayesian statistics and modelling
1167	2021	10.1155/2021/8812542	A Review of Artificial Intelligence (AI) in Education from 2010 to 2020
1010	2022	10.1007/s12652-021-03612-z	RETRACTED ARTICLE: Artificial intelligence in disease diagnosis: a systematic literature review, synthesizing framework and future research agenda
966	2021	10.1613/jair.1.12228	A Survey on the Explainability of Supervised Machine Learning
887	2022	10.1007/s10462-022-10246-w	Human-in-the-loop machine learning: a state of the art
834	2021	10.1109/jproc.2021.3052449	A Unifying Review of Deep and Shallow Anomaly Detection
817	2023	10.3390/educsci13121216	Adaptive Learning Using Artificial Intelligence in e-Learning: A Literature Review
738	2024	10.1109/access.2024.3365742	A Review on Large Language Models: Architectures, Applications, Taxonomies, Open Issues and Challenges
728	2021	10.1016/j.ijinfomgt.2021.102456	Climate change and COP26: Are digital technologies and information management part of the problem or the solution? An editorial reflection and call to action
697	2023	10.3390/fi15060192	ChatGPT and Open-AI Models: A Preliminary Review
680	2023	10.1016/j.inffus.2023.101896	Connecting the dots in trustworthy Artificial Intelligence: From AI principles, ethics, and key requirements to responsible AI systems and regulation
680	2021	10.1016/j.ress.2021.108119	Prognostics and Health Management (PHM): Where are we and where do we (need to) go in theory and practice
670	2023	10.3390/jintelligence11030054	Creativity, Critical Thinking, Communication, and Collaboration: Assessment, Certification, and Promotion of 21st Century Skills for the Future of Work and Education
631	2023	10.1038/s41551-023-01056-8	Algorithmic fairness in artificial intelligence for medicine and healthcare
617	2022	10.18653/v1/2022.acl-long.229	TruthfulQA: Measuring How Models Mimic Human Falsehoods
612	2021	10.1007/s10479-020-03912-1	Supply chain disruptions and resilience: a major review and future research agenda
599	2021	10.1016/j.artint.2021.103473	What do we want from Explainable Artificial Intelligence (XAI)? – A stakeholder perspective on XAI and a conceptual model guiding interdisciplinary XAI research
589	2021	10.3390/app11115088	Current Challenges and Future Opportunities for XAI in Machine Learning-Based Clinical Decision Support Systems: A Systematic Review
585	2021	10.3390/electronics10050593	Evaluating the Quality of Machine Learning Explanations: A Survey on Methods and Metrics
565	2022	10.3390/healthcare10030541	Machine-Learning-Based Disease Diagnosis: A Comprehensive Review
552	2024	10.1109/access.2024.3389497	GPT (Generative Pre-Trained Transformer)— A Comprehensive Review on Enabling Technologies, Potential Applications, Emerging Challenges, and Future Directions
550	2022	10.48550/arxiv.2206.04615	Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models
544	2022	10.1186/s40537-022-00652-w	Transfer learning: a friendly introduction
511	2025	10.4230/oasics.icpec.2025.4	Can Open Large Language Models Catch Vulnerabilities?
499	2024	10.1016/j.inffus.2024.102301	Explainable Artificial Intelligence (XAI) 2.0: A manifesto of open challenges and interdisciplinary research directions
492	2022	10.1016/j.jbusres.2022.03.008	Artificial intelligence and knowledge sharing: Contributing factors to organizational performance
491	2022	10.1109/tiv.2022.3223131	Milestones in Autonomous Driving and Intelligent Vehicles: Survey of Surveys
466	2023	10.1145/3616865	Fairness in Machine Learning: A Survey
