SE	MO	EX	BM	title
.	.	y	.	Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI)
.	.	y	.	"Why Should I Trust You?"
.	.	y	.	Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI
y	.	y	.	Grad-CAM: Visual Explanations from Deep Networks via Gradient-Based Localization
.	.	.	.	Deep learning
.	.	y	.	A survey of methods for explaining black box models
.	.	y	.	European Union Regulations on Algorithmic Decision Making and a “Right to Explanation”
.	.	y	.	Explainable AI: Interpreting, Explaining and Visualizing Deep Learning
.	.	y	.	Methods for interpreting and understanding deep neural networks
.	.	y	.	Machine Learning Interpretability: A Survey on Methods and Metrics
.	.	y	.	A Unified Approach to Interpreting Model Predictions
