SE	MO	EX	BM	title
.	.	y	.	Opinion Paper: “So what if ChatGPT wrote it?” Multidisciplinary perspectives on opportunities, challenges and implications of generative conversational AI for research, practice and policy
.	.	y	.	Machine learning and deep learning
y	y	.	.	Scientific Machine Learning Through Physics–Informed Neural Networks: Where we are and What’s Next
y	.	.	.	GPT-4 Technical Report
.	.	y	.	Interpreting Black-Box Models: A Review on Explainable Artificial Intelligence
y	.	.	.	A Metaverse: Taxonomy, Components, Applications, and Open Challenges
.	.	y	.	Explainable Artificial Intelligence (XAI): What we know and what is left to attain Trustworthy Artificial Intelligence
y	.	.	.	Sparks of Artificial General Intelligence: Early experiments with GPT-4
.	.	.	.	A survey on sentiment analysis methods, applications, and challenges
y	y	y	.	Evaluating Large Language Models Trained on Code
.	y	.	y	A Survey of Large Language Models
.	.	.	.	A survey on large language model based autonomous agents
.	.	.	.	A Survey of Ensemble Learning: Concepts, Algorithms, Applications, and Prospects
.	.	.	.	A SWOT analysis of ChatGPT: Implications for educational practice and research
.	.	.	y	Scaling Instruction-Finetuned Language Models
.	.	.	.	Bayesian statistics and modelling
.	.	.	y	A Review of Artificial Intelligence (AI) in Education from 2010 to 2020
.	.	.	y	RETRACTED ARTICLE: Artificial intelligence in disease diagnosis: a systematic literature review, synthesizing framework and future research agenda
.	.	y	.	A Survey on the Explainability of Supervised Machine Learning
.	.	y	.	Human-in-the-loop machine learning: a state of the art
.	.	y	y	A Unifying Review of Deep and Shallow Anomaly Detection
y	y	.	.	Adaptive Learning Using Artificial Intelligence in e-Learning: A Literature Review
.	.	.	.	A Review on Large Language Models: Architectures, Applications, Taxonomies, Open Issues and Challenges
.	.	.	.	Climate change and COP26: Are digital technologies and information management part of the problem or the solution? An editorial reflection and call to action
.	.	.	y	ChatGPT and Open-AI Models: A Preliminary Review
y	.	y	.	Connecting the dots in trustworthy Artificial Intelligence: From AI principles, ethics, and key requirements to responsible AI systems and regulation
.	.	.	.	Prognostics and Health Management (PHM): Where are we and where do we (need to) go in theory and practice
y	.	.	.	Creativity, Critical Thinking, Communication, and Collaboration: Assessment, Certification, and Promotion of 21st Century Skills for the Future of Work and Education
.	.	.	.	Algorithmic fairness in artificial intelligence for medicine and healthcare
y	.	.	y	TruthfulQA: Measuring How Models Mimic Human Falsehoods
.	.	.	.	Supply chain disruptions and resilience: a major review and future research agenda
.	.	y	.	What do we want from Explainable Artificial Intelligence (XAI)? – A stakeholder perspective on XAI and a conceptual model guiding interdisciplinary XAI research
.	.	y	.	Current Challenges and Future Opportunities for XAI in Machine Learning-Based Clinical Decision Support Systems: A Systematic Review
.	.	y	y	Evaluating the Quality of Machine Learning Explanations: A Survey on Methods and Metrics
.	.	y	.	Machine-Learning-Based Disease Diagnosis: A Comprehensive Review
.	.	.	.	GPT (Generative Pre-Trained Transformer)— A Comprehensive Review on Enabling Technologies, Potential Applications, Emerging Challenges, and Future Directions
y	.	.	y	Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models
y	.	.	.	Transfer learning: a friendly introduction
y	.	.	.	Can Open Large Language Models Catch Vulnerabilities?
.	.	y	.	Explainable Artificial Intelligence (XAI) 2.0: A manifesto of open challenges and interdisciplinary research directions
.	.	.	.	Artificial intelligence and knowledge sharing: Contributing factors to organizational performance
.	.	.	.	Milestones in Autonomous Driving and Intelligent Vehicles: Survey of Surveys
.	.	.	.	Fairness in Machine Learning: A Survey
